subject,finger,pearson_r,r2,calibrated_r2,calibration_gap
sub1,Thumb,0.632,0.3975,0.3994,0.0019
sub1,Index,0.7527,0.4087,0.5666,0.1579
sub1,Middle,0.6299,0.333,0.3968,0.0638
sub1,Ring,0.6837,0.2265,0.4674,0.2409
sub1,Little,0.6037,0.3395,0.3645,0.025
sub1,"AVG(5指, avg_r)",0.6604,0.341,0.4389,0.0979
sub1,"OFFICIAL(4指,剔除Ring)",0.6546,0.3697,0.4318,0.0621
,,,,,
sub2,Thumb,0.6248,0.2579,0.3904,0.1325
sub2,Index,0.6414,0.1071,0.4114,0.3042
sub2,Middle,0.5624,0.1257,0.3163,0.1906
sub2,Ring,0.582,-0.1746,0.3387,0.5133
sub2,Little,0.4983,0.0512,0.2483,0.1971
sub2,"AVG(5指, avg_r)",0.5818,0.0735,0.341,0.2675
sub2,"OFFICIAL(4指,剔除Ring)",0.5817,0.1355,0.3416,0.2061
,,,,,
sub3,Thumb,0.7973,0.4886,0.6357,0.1471
sub3,Index,0.7114,0.4089,0.5061,0.0973
sub3,Middle,0.6785,0.1344,0.4604,0.326
sub3,Ring,0.7648,0.3992,0.5849,0.1857
sub3,Little,0.7264,0.4665,0.5277,0.0612
sub3,"AVG(5指, avg_r)",0.7357,0.3795,0.543,0.1634
sub3,"OFFICIAL(4指,剔除Ring)",0.7284,0.3746,0.5325,0.1579
,,,,,
